subsystem	component	bundle_path	adapted_system_types	component_dependency_count	component_dependencies	third_party_dependency_count	third_party_dependencies	sub_component_target_count	sub_component_targets	inner_kit_count	test_entry_count	test_entries
ability	ability_base	foundation/ability/ability_base/bundle.json	standard	12	ability_runtime,bundle_framework,c_utils,hilog,hitrace,icu,ipc,resource_management,json,jsoncpp,zlib,window_manager	0		1	//foundation/ability/ability_base:base_innerkits_target	10	2	//foundation/ability/ability_base/test/unittest:unittest,//foundation/ability/ability_base/test/fuzztest:fuzztest
ability	ability_cangjie_wrapper	foundation/ability/ability_cangjie_wrapper/bundle.json	standard	12	ability_runtime,access_token,accesscontrol_cangjie_wrapper,cangjie_ark_interop,arkui_cangjie_wrapper,hiviewdfx_cangjie_wrapper,bundlemanager_cangjie_wrapper,communication_cangjie_wrapper,global_cangjie_wrapper,multimedia_cangjie_wrapper,window_cangjie_wrapper,testfwk_cangjie_wrapper	0		2	//foundation/ability/ability_cangjie_wrapper/ohos:ability_package,//foundation/ability/ability_cangjie_wrapper/kit/AbilityKit:kit.AbilityKit	8	0	
ability	ability_lite	foundation/ability/ability_lite/bundle.json	mini,small	7	bundle_framework_lite,kv_store,ui_lite,surface_lite,hilog,samgr_lite,window_manager_lite	3	bounds_checking_function,cJSON,freetype	3	//foundation/ability/ability_lite/frameworks/ability_lite:aafwk_abilitykit_lite,//foundation/ability/ability_lite/frameworks/abilitymgr_lite:aafwk_abilityManager_lite,//foundation/ability/ability_lite/services/abilitymgr_lite:aafwk_services_lite	0	0	
ability	ability_runtime	foundation/ability/ability_runtime/bundle.json	standard	75	ability_base,accessibility,access_token,ace_engine,api_metrics,app_domain_verify,app_file_service,appspawn,background_task_mgr,bounds_checking_function,bundle_framework,common_event_service,config_policy,c_utils,cJSON,data_share,dlp_permission_service,dsoftbus,eventhandler,ets_frontend,ets_runtime,ets_utils,faultloggerd,ffrt,form_fwk,graphic_2d,hiappevent,hichecker,hicollie,hilog,hisysevent,hitrace,hiview,i18n,icu,idl_tool,image_framework,init,input,ipc,json,kv_store,libjpeg-turbo,libuv,libxml2,media_library,memmgr,memory_utils,napi,netmanager_base,node,os_account,power_manager,preferences,previewer,qos_manager,relational_store,resource_management,resource_schedule_service,runtime_core,safwk,samgr,sandbox_manager,screenlock_mgr,selinux_adapter,storage_service,toolchain,udmf,webview,window_manager,zlib,hiperf,hiprofiler,taihe_ffi_gen,node	0		46	//foundation/ability/ability_runtime/agent_runtime_framework/interfaces/inner_api:agent_fwk,//foundation/ability/ability_runtime/agent_runtime_framework/services/agentmgr:agentmgr,//foundation/ability/ability_runtime/cli_tool_framework/etc/profile:aimgr_cfg,//foundation/ability/ability_runtime/cli_tool_framework/etc/profile:aimgr_trust,//foundation/ability/ability_runtime/cli_tool_framework/frameworks:cli_tool_framework_packages,//foundation/ability/ability_runtime/cli_tool_framework/interfaces/cli_tool:cli_tool_client,//foundation/ability/ability_runtime/cli_tool_framework/services/climgr:climgr,//foundation/ability/ability_runtime/services:ams_target,//foundation/ability/ability_runtime/services/sa_profile:ams_sa_profile,//foundation/ability/ability_runtime/services/quickfixmgr:quick_fix.cfg,//foundation/ability/ability_runtime/tools:tools_target,//foundation/ability/ability_runtime/interfaces/inner_api:innerkits_target,//foundation/ability/ability_runtime/interfaces/inner_api/insight_intent/intent_client:intent_client,//foundation/ability/ability_runtime/frameworks/native/ability/native:ability_thread,//foundation/ability/ability_runtime/frameworks/native/ability/native:app_service_extension_ani,//foundation/ability/ability_runtime/frameworks/native/ability/native:auto_fill_extension_ani,//foundation/ability/ability_runtime/frameworks/native/ability/native:extension_module,//foundation/ability/ability_runtime/frameworks/native/ability/native:insight_intent_executor_ani,//foundation/ability/ability_runtime/frameworks/native/ability/native:photo_editor_extension_ani,//foundation/ability/ability_runtime/frameworks/native/ability/native:service_extension_ani,//foundation/ability/ability_runtime/frameworks/native/ability/native:ui_ability_ani,//foundation/ability/ability_runtime/frameworks/native/ability/native:ui_extension_ani,//foundation/ability/ability_runtime/frameworks/native/ability/native:ui_service_extension_ani,//foundation/ability/ability_runtime/frameworks/native/appkit:ability_stage_ani,//foundation/ability/ability_runtime/frameworks/native/appkit:test_runner_ani,//foundation/ability/ability_runtime/frameworks/native/appkit:appkit_child,//foundation/ability/ability_runtime/frameworks/native/appkit:appkit_child_entry,//foundation/ability/ability_runtime/frameworks/native/child_process:child_process,//foundation/ability/ability_runtime/frameworks/native/insight_intent:insight_intent_innerkits,//foundation/ability/ability_runtime/frameworks/c/ability_runtime:ability_runtime,//foundation/ability/ability_runtime/frameworks/cj:cj_ability_packages,//foundation/ability/ability_runtime/frameworks/ets/ani:ani_packages,//foundation/ability/ability_runtime/frameworks/js/napi:napi_packages,//foundation/ability/ability_runtime/frameworks/ets/ets:ets_packages,//foundation/ability/ability_runtime/cj_environment/frameworks/cj_environment:cj_environment,//foundation/ability/ability_runtime/ets_environment/frameworks/ets_environment:ets_environment,//foundation/ability/ability_runtime/js_environment/frameworks/js_environment:js_environment,//foundation/ability/ability_runtime/services/abilitymgr/etc:appfwk_etc,//foundation/ability/ability_runtime/services/dialog_ui/ams_system_dialog:dialog_hap,//foundation/ability/ability_runtime/service_router_framework:srms_target,//foundation/ability/ability_runtime/service_router_framework:jsapi_target,//foundation/ability/ability_runtime/agent_runtime_framework/frameworks/ets/ets:agent_runtime_ets_packages,//foundation/ability/ability_runtime/agent_runtime_framework/frameworks/ets/ani:agent_runtime_ani_packages,//foundation/ability/ability_runtime/agent_runtime_framework/frameworks/js/napi:agent_runtime_napi_packages,//foundation/ability/ability_runtime/agent_runtime_framework/frameworks/native/agent_extension:agent_extension_module,//foundation/ability/ability_runtime/agent_runtime_framework/frameworks/native/agent_ui_extension_ability:agent_ui_extension_module	81	12	//foundation/ability/ability_runtime/cli_tool_framework/test/unittest:unittest,//foundation/ability/ability_runtime/test/moduletest:moduletest,//foundation/ability/ability_runtime/test/fuzztest:fuzztest,//foundation/ability/ability_runtime/test/unittest:unittest,//foundation/ability/ability_runtime/test/sample:sample,//foundation/ability/ability_runtime/tools/test:moduletest,//foundation/ability/ability_runtime/tools/test:systemtest,//foundation/ability/ability_runtime/tools/test:unittest,//foundation/ability/ability_runtime/cj_environment/test/unittest:unittest,//foundation/ability/ability_runtime/ets_environment/test/unittest:unittest,//foundation/ability/ability_runtime/js_environment/test/unittest:unittest,//foundation/ability/ability_runtime/service_router_framework:test_target
ability	dmsfwk	foundation/ability/dmsfwk/bundle.json	standard	56	ability_base,ability_runtime,access_token,av_codec,background_task_mgr,bluetooth,bundle_framework,cJSON,c_utils,common_event_service,config_policy,device_auth,device_info_manager,device_security_level,device_manager,distributed_bundle_framework,dmsfwk,dsoftbus,data_share,ets_frontend,eventhandler,enterprise_device_management,ffrt,form_fwk,graphic_2d,graphic_surface,hisysevent,hitrace,hilog,image_framework,init,input,ipc,json,kv_store,libuv,memmgr,media_foundation,napi,node,openssl,os_account,resource_management,resource_schedule_service,runtime_core,safwk,samgr,screenlock_mgr,video_processing_engine,window_manager,wifi,storage_service,distributed_notification_service,i18n,hiappevent,taihe_ffi_gen	0		0		6	9	//foundation/ability/dmsfwk/interfaces/innerkits/tests:dms_sdk_demo,//foundation/ability/dmsfwk/services/dtbschedmgr:unittest,//foundation/ability/dmsfwk/services/dtbabilitymgr:unittest,//foundation/ability/dmsfwk/services/dtbcollabmgr/src/ability_connection_manager:unittest,//foundation/ability/dmsfwk/services/dtbcollabmgr/src/channel_manager:unittest,//foundation/ability/dmsfwk/services/dtbcollabmgr/src/av_trans_stream_provider:unittest,//foundation/ability/dmsfwk/services/dtbschedmgr/test/dExtensionDemo:dExtensionDemo,//foundation/ability/dmsfwk/test:fuzztest,//foundation/ability/dmsfwk/frameworks:target_distributed_tests
ability	dmsfwk_lite	foundation/ability/dmsfwk_lite/bundle.json	small	6	utils_lite,hilog_lite,samgr_lite,bundle_framework_lite,ability_lite,huks	2	bounds_checking_function,cJSON	2	//foundation/ability/dmsfwk_lite:dtbschedmgr,//foundation/ability/dmsfwk_lite/moduletest/dtbschedmgr_lite:distributed_schedule_test_dms_door	1	0	
ability	form_fwk	foundation/ability/form_fwk/bundle.json	standard	49	ability_runtime,api_metrics,distributed_notification_service,bundle_framework,common_event_service,cJSON,faultloggerd,ffrt,hilog,ipc,napi,relational_store,os_account,power_manager,safwk,samgr,c_utils,ability_base,ets_runtime,eventhandler,hiappevent,hitrace,access_token,data_share,hicollie,hisysevent,kv_store,netmanager_base,resource_management,time_service,device_usage_statistics,ace_engine,memmgr,init,resource_schedule_service,jsoncpp,libxml2,config_policy,runtime_core,device_manager,dmsfwk,huks,selinux_adapter,openssl,window_manager,graphic_2d,qos_manager,input,image_framework	2	node,json	0		10	3	//foundation/ability/form_fwk/test:benchmarktest,//foundation/ability/form_fwk/test:unittest,//foundation/ability/form_fwk/test/fuzztest:fuzztest
ability	idl_tool	foundation/ability/idl_tool/bundle.json	standard	6	hilog,ipc,samgr,safwk,c_utils,bounds_checking_function	0		2	//foundation/ability/idl_tool:idl,//foundation/ability/idl_tool:idl_group	1	6	//foundation/ability/idl_tool/test/rust/moduletest:moduletest,//foundation/ability/idl_tool/test/rust/unittest:unittest,//foundation/ability/idl_tool/test/ts/moduletest:moduletest,//foundation/ability/idl_tool/test/ts/unittest:unittest,//foundation/ability/idl_tool/test/unittest:unittest,//foundation/ability/idl_tool/idl_tool_2/test/unittest:unittest
accesscontrol	accesscontrol_cangjie_wrapper	base/accesscontrol/accesscontrol_cangjie_wrapper/bundle.json	standard	4	access_token,cangjie_ark_interop,ability_cangjie_wrapper,hiviewdfx_cangjie_wrapper	0		2	//base/accesscontrol/accesscontrol_cangjie_wrapper/ohos/ability_access_ctrl:ohos.ability_access_ctrl,//base/accesscontrol/accesscontrol_cangjie_wrapper/ohos/security/permission_request_result:ohos.security.permission_request_result	2	0	
accesscontrol	sandbox_manager	base/accesscontrol/sandbox_manager/bundle.json	standard	22	ability_base,access_token,appspawn,bundle_framework,cJSON,c_utils,common_event_service,config_policy,data_share,eventhandler,hilog,hisysevent,ipc,media_library,os_account,relational_store,safwk,samgr,security_guard,init,selinux,bounds_checking_function	0		0		1	2	//base/accesscontrol/sandbox_manager:sandbox_manager_build_module_test,//base/accesscontrol/sandbox_manager:sandbox_manager_build_fuzz_test
