subsystem	component	repository_path	repository	metadata_path	product_selected	adapted_system_types	description	syscaps	features	component_dependencies	third_party_dependencies	sub_component_targets	inner_kit_targets	test_entries	rom	ram	runtime_entity_count	static_target_count	production_target_count	test_target_count	build_support_target_count	aggregate_codegen_target_count
developtools	ace_ets2bundle	developtools/ace_ets2bundle	ace_ets2bundle	developtools/ace_ets2bundle/bundle.json	yes	standard	ArkUI declarative paradigm parser for syntax compilation, conversion, verification			node,sdk,ets_frontend,typescript,bounds_checking_function	typescript	//developtools/ace_ets2bundle:ets_loader_component_config,//developtools/ace_ets2bundle:ets_loader,//developtools/ace_ets2bundle:ets_loader_library,//developtools/ace_ets2bundle:components,//developtools/ace_ets2bundle:server,//developtools/ace_ets2bundle:codegen,//developtools/ace_ets2bundle:ets_loader_declaration,//developtools/ace_ets2bundle:ets_loader_ark_hap,//developtools/ace_ets2bundle/koala-wrapper:ohos_ets_koala_wrapper(//build/toolchain/linux:clang_x64),//developtools/ace_ets2bundle/ets1.2:ohos_ets_libarkts(//build/toolchain/linux:clang_x64)	//developtools/ace_ets2bundle/arkui-plugins:ohos_ets_ui_plugins,//developtools/ace_ets2bundle/koala-wrapper:ohos_ets_koala_wrapper,//developtools/ace_ets2bundle:ets_loader_ark_hap,//developtools/ace_ets2bundle/ets1.2:ohos_ets_libarkts,//developtools/ace_ets2bundle/ets1.2:ohos_ets_libarkts_pack_prebuilt,//developtools/ace_ets2bundle/ets1.2/libarkts:panda_sdk				0	67	24	0	3	40
developtools	ace_js2bundle	developtools/ace_js2bundle	ace_js2bundle	developtools/ace_js2bundle/bundle.json	no	standard	ArkUI Web-like paradigm parser for syntax compilation, conversion, verification				parse5,weex-loader	//developtools/ace_js2bundle:ace_loader,//developtools/ace_js2bundle:ace_loader_library,//developtools/ace_js2bundle:ace_loader_ark_hap	//developtools/ace_js2bundle:ace_loader_ark_hap				0	6	0	0	0	6
developtools	global_resource_tool	developtools/global_resource_tool	global_resource_tool	developtools/global_resource_tool/bundle.json	no	mini,small,standard	OpenHarmony resource compile.			zlib	bounds_checking_function,cJSON,libpng	//developtools/global_resource_tool:restool			0KB	0KB	0	6	4	1	0	1
developtools	hapsigner	developtools/hapsigner	hapsigner	developtools/hapsigner/hapsigntool_cpp/bundle.json	no	standard	hap包签名工具，支持.hsp、.hqf、.hap和.app等文件签名			bounds_checking_function,c_utils,cJSON,elfio,openssl,zlib,hilog	openssl	//developtools/hapsigner/binary_sign_tool:binary-sign-tool,//developtools/hapsigner/hapsigntool_cpp:hap-sign-tool		//developtools/hapsigner/hapsigntool_cpp_test/unittest:hapsigntool_pc_unittest,//developtools/hapsigner/hapsigntool_cpp_test/fuzztest:hapsigntool_pc_fuzztest	0KB	0KB	0	69	3	62	1	3
developtools	hdc	developtools/hdc	hdc	developtools/hdc/bundle.json	yes	standard	Device debug connector that provides the device connection capability and a command line tool		hdc_feature_support_sudo,hdc_feature_support_credential,hdc_feature_support_report_command_event,hdc_feature_support_usr_symlink	init,c_utils,faultloggerd,hitrace,hilog,ipc,ability_base,ability_runtime,common_event_service,window_manager,ylong_runtime,bounds_checking_function,lz4,selinux,openssl,libusb,libuv,os_account,user_auth_framework,pin_auth,rust_rust-openssl,huks,rust_libc,hisysevent,i18n		//developtools/hdc:hdcd_system,//developtools/hdc/hdcd_user_permit:hdcd_user_permit,//developtools/hdc:hdc_register,//developtools/hdc:hdcd_updater,//developtools/hdc:hdc_updater,//developtools/hdc/sudo:sudo,//developtools/hdc/credential:hdc_credential	//developtools/hdc:hdc_updater	//developtools/hdc/test:hdc_fuzztest	1725KB	1599KB	3	68	25	23	13	7
developtools	hiperf	developtools/hiperf	hiperf	developtools/hiperf/bundle.json	yes	standard	hiperf interface provided for system		hiperf_sandbox_log_path_mapping,hiperf_feature_support_usr_symlink	ability_base,abseil-cpp,bounds_checking_function,bundle_framework,cJSON,c_utils,config_policy,faultloggerd,hiprofiler,hilog,hisysevent,init,ipc,napi,protobuf,samgr,zlib		//developtools/hiperf:hiperf_target,//developtools/hiperf:hiperf_target_all	//developtools/hiperf/interfaces/innerkits/native/hiperf_client:hiperf_client,//developtools/hiperf/interfaces/innerkits/native/hiperf_local:hiperf_local	//developtools/hiperf/test:hiperf_test	930KB	2000KB	0	49	18	13	10	8
developtools	hiprofiler	developtools/profiler	profiler	developtools/profiler/bundle.json	yes	standard	Performance profiler that provides an analytics tool for the memory, bytrace plug-in, and IDE, as well as plug-in capabilities	SystemCapability.HiviewDFX.HiProfiler.HiDebug	hiprofiler_SmartPerf,hiprofiler_sandbox_log_path_mapping,hiprofiler_feature_support_usr_symlink	ability_runtime,ability_base,access_token,arkxtest,bounds_checking_function,bundle_framework,common_event_service,cJSON,c_utils,faultloggerd,hiappevent,hichecker,hicollie,hidumper,hilog,hisysevent,hitrace,hiview,icu,ipc,init,libbpf,libpng,napi,protobuf,runtime_core,safwk,samgr,storage_service,drivers_interface_memorytracker,graphic_2d,os_account,window_manager,image_framework,ffrt,openssl,zlib,grpc,abseil-cpp,netmanager_base,ets_frontend		//developtools/profiler/device:hiprofiler_targets,//developtools/profiler/hidebug/interfaces/js/kits:profiler_jsapi_module,//developtools/profiler/hidebug/interfaces/ets/ani:ani_profiler_hidebug_package,//developtools/profiler/hidebug/frameworks/hidebug_ndk:ohhidebug,//developtools/profiler/hidebug/frameworks/native:hidebug_native,//developtools/profiler/hiebpf:hiebpf_tool,//developtools/profiler/timestamps:timestamps_tool,//developtools/profiler/tools/pagemap_parse:pagemap_tool,//developtools/profiler/host/smartperf/client/client_command/etc:spdaemon.para,//developtools/profiler/host/smartperf/client/client_command/etc:spdaemon.para.dac	//developtools/profiler/device/plugins/api:libhidebug,//developtools/profiler/device/plugins/api:libhidebug_init,//developtools/profiler/device/plugins/native_daemon:libnative_daemon_client,//developtools/profiler/device/plugins/native_daemon:memory_profiler_client,//developtools/profiler/device/plugins/network_profiler/client:libnetwork_profiler,//developtools/profiler/device/plugins/ffrt_profiler/client:libffrt_profiler,//developtools/profiler/device/base:libstack_common,//developtools/profiler/device/base:stack_common_static,//developtools/profiler/hidebug/interfaces/cj:cj_hidebug_ffi,//developtools/profiler/device/plugins/preload_client:hiprofiler_preload_client,//developtools/profiler/hidebug/interfaces/innerkits/native/hidebug_dump:hidebug_dump	//developtools/profiler/device:fuzztest,//developtools/profiler/device:unittest,//developtools/profiler/interfaces/kits/test:unittest,//developtools/profiler/hidebug/test/unittest:unittest,//developtools/profiler/hidebug/test/fuzztest:fuzztest,//developtools/profiler/proto_encoder/test:unittest	188KB	2000KB	5	456	184	149	81	42
developtools	packing_tool	developtools/packing_tool	packing_tool	developtools/packing_tool/bundle.json	yes	mini,small,standard	packing_tool for openharmony			bounds_checking_function,cJSON,hilog,json,openssl,zlib		//developtools/packing_tool:packing_tool,//developtools/packing_tool:ohos_packing_tool	//developtools/packing_tool:packing_tool_external	//developtools/packing_tool/packing_tool/frameworks/test/unittest:unittest			0	188	35	113	40	0
developtools	smartperf_host	developtools/smartperf_host	smartperf_host	developtools/smartperf_host/bundle.json	yes	standard	The SmartPerf performance tuning tool includes SmartPerf_Host and SmartPerf_Device.		smartperf_host_device	ability_base,arkxtest,bounds_checking_function,common_event_service,c_utils,hilog,hisysevent,hiview,ipc,init,libpng,protobuf,samgr,graphic_2d,window_manager,image_framework,zlib	libsec_static,libunwind,sqlite	//developtools/smartperf_host/smartperf_device/device_command/:SP_daemon,//developtools/smartperf_host/smartperf_device/:SmartPerf,//developtools/smartperf_host/smartperf_device/device_command:smartperf_daemon	//developtools/smartperf_host/smartperf_device/device_command:smartperf_daemon	//developtools/smartperf_host/smartperf_device/device_command/test:unittest	188KB	2000KB	0	272	139	23	79	31
developtools	syscap_codec	developtools/syscap_codec	syscap_codec	developtools/syscap_codec/bundle.json	yes	small,standard	System capability encode and decode.	SystemCapability.Developtools.Syscap	syscap_codec_config_path,syscap_codec_config_extern_path	napi,bounds_checking_function,cJSON,runtime_core		//developtools/syscap_codec:syscap_codec,//developtools/syscap_codec/taihe:taihe_group	//developtools/syscap_codec:syscap_interface_shared	//developtools/syscap_codec/test/unittest/common:unittest	0	0	0	24	9	4	2	9
