subsystem	component	repository_path	repository	build_file	line	target_type	target_name	target_label	category	mapping_method
developtools	ace_ets2bundle	developtools/ace_ets2bundle	ace_ets2bundle	developtools/ace_ets2bundle/BUILD.gn	46	action	build_ets_loader_library	//developtools/ace_ets2bundle:build_ets_loader_library	aggregate-codegen	component-prefix
developtools	ace_ets2bundle	developtools/ace_ets2bundle	ace_ets2bundle	developtools/ace_ets2bundle/BUILD.gn	162	action	build_ets_sysResource	//developtools/ace_ets2bundle:build_ets_sysResource	aggregate-codegen	component-prefix
developtools	ace_ets2bundle	developtools/ace_ets2bundle	ace_ets2bundle	developtools/ace_ets2bundle/BUILD.gn	196	ohos_copy	ets_loader	//developtools/ace_ets2bundle:ets_loader	aggregate-codegen	component-prefix
developtools	ace_ets2bundle	developtools/ace_ets2bundle	ace_ets2bundle	developtools/ace_ets2bundle/BUILD.gn	210	ohos_copy	ets_loader_component_config	//developtools/ace_ets2bundle:ets_loader_component_config	aggregate-codegen	component-prefix
developtools	ace_ets2bundle	developtools/ace_ets2bundle	ace_ets2bundle	developtools/ace_ets2bundle/BUILD.gn	222	ohos_copy	ets_loader_form_config	//developtools/ace_ets2bundle:ets_loader_form_config	aggregate-codegen	component-prefix
developtools	ace_ets2bundle	developtools/ace_ets2bundle	ace_ets2bundle	developtools/ace_ets2bundle/BUILD.gn	231	ohos_copy	ets_loader_library	//developtools/ace_ets2bundle:ets_loader_library	aggregate-codegen	component-prefix
developtools	ace_ets2bundle	developtools/ace_ets2bundle	ace_ets2bundle	developtools/ace_ets2bundle/BUILD.gn	239	ohos_copy	ets_loader_kit_configs	//developtools/ace_ets2bundle:ets_loader_kit_configs	aggregate-codegen	component-prefix
developtools	ace_ets2bundle	developtools/ace_ets2bundle	ace_ets2bundle	developtools/ace_ets2bundle/BUILD.gn	247	ohos_copy	components	//developtools/ace_ets2bundle:components	aggregate-codegen	component-prefix
developtools	ace_ets2bundle	developtools/ace_ets2bundle	ace_ets2bundle	developtools/ace_ets2bundle/BUILD.gn	254	ohos_copy	form_components	//developtools/ace_ets2bundle:form_components	aggregate-codegen	component-prefix
developtools	ace_ets2bundle	developtools/ace_ets2bundle	ace_ets2bundle	developtools/ace_ets2bundle/BUILD.gn	261	ohos_copy	insight_intents	//developtools/ace_ets2bundle:insight_intents	aggregate-codegen	component-prefix
developtools	ace_ets2bundle	developtools/ace_ets2bundle	ace_ets2bundle	developtools/ace_ets2bundle/BUILD.gn	268	ohos_copy	server	//developtools/ace_ets2bundle:server	aggregate-codegen	component-prefix
developtools	ace_ets2bundle	developtools/ace_ets2bundle	ace_ets2bundle	developtools/ace_ets2bundle/BUILD.gn	275	ohos_copy	codegen	//developtools/ace_ets2bundle:codegen	aggregate-codegen	component-prefix
developtools	ace_ets2bundle	developtools/ace_ets2bundle	ace_ets2bundle	developtools/ace_ets2bundle/BUILD.gn	282	ohos_copy	ets_loader_declaration	//developtools/ace_ets2bundle:ets_loader_declaration	aggregate-codegen	component-prefix
