subsystem	component	repository_path	repository	bundle_path	rk3568_selected	adapted_system_types	component_dependency_count	third_party_dependency_count	declared_sub_component_count	inner_kit_count	declared_test_entry_count	gn_target_count	production_target_count	test_target_count	build_support_target_count	aggregate_codegen_target_count
ability	ability_base	foundation/ability/ability_base	ability_ability_base	foundation/ability/ability_base/bundle.json	yes	standard	12	0	1	10	2	123	10	88	24	1
ability	ability_cangjie_wrapper	foundation/ability/ability_cangjie_wrapper	ability_ability_cangjie_wrapper	foundation/ability/ability_cangjie_wrapper/bundle.json	no	standard	12	0	2	8	0	27	24	1	0	2
ability	ability_lite	foundation/ability/ability_lite	ability_ability_lite	foundation/ability/ability_lite/bundle.json	no	mini,small	7	3	3	0	0	25	13	5	2	5
ability	ability_runtime	foundation/ability/ability_runtime	ability_ability_runtime	foundation/ability/ability_runtime/bundle.json	yes	standard	75	0	46	81	12	3810	558	2771	201	280
ability	dmsfwk	foundation/ability/dmsfwk	ability_dmsfwk	foundation/ability/dmsfwk/bundle.json	yes	standard	56	0	0	6	9	233	36	156	25	16
ability	dmsfwk_lite	foundation/ability/dmsfwk_lite	ability_dmsfwk_lite	foundation/ability/dmsfwk_lite/bundle.json	no	small	6	2	2	1	0	5	2	2	0	1
ability	form_fwk	foundation/ability/form_fwk	ability_form_fwk	foundation/ability/form_fwk/bundle.json	yes	standard	49	2	0	10	3	675	72	531	39	33
ability	idl_tool	foundation/ability/idl_tool	ability_idl_tool	foundation/ability/idl_tool/bundle.json	yes	standard	6	0	2	1	6	146	1	123	21	1
ai	ai_engine	foundation/ai/ai_engine	ai_engine	foundation/ai/ai_engine/bundle.json	no	small	4	1	1	0	1	57	35	15	3	4
ai	intelligent_voice_framework	foundation/ai/intelligent_voice_framework	ai_intelligent_voice_framework	foundation/ai/intelligent_voice_framework/bundle.json	yes	standard	27	0	12	2	1	37	16	15	1	5
ai	neural_network_runtime	foundation/ai/neural_network_runtime	ai_neural_network_runtime	foundation/ai/neural_network_runtime/bundle.json	yes	standard	12	0	1	3	2	89	8	58	15	8
arkui	ace_engine	foundation/arkui/ace_engine	arkui_ace_engine	foundation/arkui/ace_engine/bundle.json	yes	standard	75	0	0	13	2	1358	479	496	147	236
arkui	ace_engine_lite	foundation/arkui/ace_engine_lite	arkui_ace_engine_lite	foundation/arkui/ace_engine_lite/bundle.json	no	mini,small	17	2	2	1	0	79	9	62	5	3
arkui	advanced_ui_component	foundation/arkui/advanced_ui_component	arkui_advanced_ui_component	foundation/arkui/advanced_ui_component/bundle.json	yes	standard	6	0	10	0	0	45	22	0	0	23
arkui	arkui_cangjie_wrapper	foundation/arkui/arkui_cangjie_wrapper	arkui_arkui_cangjie_wrapper	foundation/arkui/arkui_cangjie_wrapper/bundle.json	no	standard	7	0	2	6	0	96	94	0	0	2
arkui	napi	foundation/arkui/napi	arkui_napi	foundation/arkui/napi/bundle.json	yes	standard	17	1	0	8	5	139	92	34	9	4
arkui	ui_appearance	foundation/arkui/ui_appearance	arkui_ui_appearance	foundation/arkui/ui_appearance/bundle.json	yes	standard	17	0	2	1	1	28	11	10	4	3
arkui	ui_lite	foundation/arkui/ui_lite	arkui_ui_lite	foundation/arkui/ui_lite/bundle.json	yes	mini,small,standard	11	0	3	3	0	28	6	7	9	6
barrierfree	accessibility	foundation/barrierfree/accessibility	accessibility	foundation/barrierfree/accessibility/bundle.json	yes	standard	40	0	0	6	11	199	31	131	26	11
bundlemanager	app_domain_verify	foundation/bundlemanager/app_domain_verify	bundlemanager_app_domain_verify	foundation/bundlemanager/app_domain_verify/bundle.json	yes	standard	26	1	1	7	2	80	16	27	33	4
bundlemanager	bundle_framework	foundation/bundlemanager/bundle_framework	bundlemanager_bundle_framework	foundation/bundlemanager/bundle_framework/bundle.json	yes	standard	63	1	3	12	1	1530	98	1334	53	45
bundlemanager	bundle_framework_lite	foundation/bundlemanager/bundle_framework_lite	bundlemanager_bundle_framework_lite	foundation/bundlemanager/bundle_framework_lite/bundle.json	no	mini,small	7	4	2	2	0	16	11	0	1	4
