host_subsystem	process	init_service_count	system_ability_count	participating_component_count	executable_targets	start_modes	uids	gids	selinux_domains	sa_ids	libraries	evidence_files
ability	aimgr	1	1	2	//foundation/systemabilitymgr/safwk/services/safwk:sa_main	ondemand	aimgr	system	u:r:aimgr:s0	186	libclimgr.z.so	foundation/ability/ability_runtime/cli_tool_framework/etc/profile/aimgr.cfg,foundation/ability/ability_runtime/services/sa_profile/186.json
ability	distributedsched	1	1	2	//foundation/systemabilitymgr/safwk/services/safwk:sa_main	ondemand	dms	dms,shell,access_token	u:r:distributedsche:s0	1401	libdistributedschedsvr.z.so	foundation/ability/dmsfwk/etc/init/distributedsched.cfg,foundation/ability/dmsfwk/sa_profile/1401.json
ability	quick_fix	1	1	2	//foundation/systemabilitymgr/safwk/services/safwk:sa_main	ondemand	quickfixserver	system	u:r:quick_fix:s0	184	libquickfixms.z.so	foundation/ability/ability_runtime/services/quickfixmgr/quick_fix.cfg,foundation/ability/ability_runtime/services/sa_profile/184.json
ability	service_router	1	1	2	//foundation/systemabilitymgr/safwk/services/safwk:sa_main	condition	servicerouter	servicerouter	u:r:service_router:s0	404	libsrms.z.so	foundation/ability/ability_runtime/service_router_framework/services/srms/sa_profile/srms.cfg,foundation/ability/ability_runtime/service_router_framework/services/srms/sa_profile/404.json
ai	intell_voice_service	1	1	2	//foundation/systemabilitymgr/safwk/services/safwk:sa_main	ondemand	intell_voice	system,intell_voice	u:r:intell_voice_service:s0	312	libintell_voice_server.z.so	foundation/ai/intelligent_voice_framework/services/etc/intell_voice_service.cfg,foundation/ai/intelligent_voice_framework/sa_profile/intell_voice_service.json
arkui	ui_sa	1	1	2	//foundation/systemabilitymgr/safwk/services/safwk:sa_main		ui_sa	ui_sa,shell		16666	libui_sa.z.so	foundation/arkui/ace_engine/interfaces/inner_api/ui_session/ui_session_sample/ui_sa.cfg,foundation/arkui/ace_engine/interfaces/inner_api/ui_session/ui_session_sample/16666.json
arkui	ui_service	1	2	3	//foundation/systemabilitymgr/safwk/services/safwk:sa_main		uiserver	system,shell	u:r:ui_service:s0	7001,7002	libuiservice.z.so,libui_appearance_service.z.so	foundation/arkui/ace_engine/adapter/ohos/services/uiservice/ui_service.cfg,foundation/arkui/ace_engine/adapter/ohos/sa_profile/7001.json,foundation/arkui/ui_appearance/sa_profile/7002.json
barrierfree	accessibility	1	2	2	//foundation/systemabilitymgr/safwk/services/safwk:sa_main		accessibility	accessibility,shell	u:r:accessibility:s0	801	libaccessibleabilityms.z.so	foundation/barrierfree/accessibility/sa_profile/accessibility.cfg,foundation/barrierfree/accessibility/sa_profile/801_dynamic.json,foundation/barrierfree/accessibility/sa_profile/801.json
bundlemanager	app_domain_verify_agent	1	1	2	//foundation/systemabilitymgr/safwk/services/safwk:sa_main	ondemand	app_domain_verify	app_domain_verify,system,shell,netsys_socket	u:r:app_domain_verify_agent:s0	6201	libapp_domain_verify_agent_service.z.so	foundation/bundlemanager/app_domain_verify/etc/init/app_domain_verify_agent.cfg,foundation/bundlemanager/app_domain_verify/profile/6201.json
bundlemanager	d-bms	1	1	2	//foundation/systemabilitymgr/safwk/services/safwk:sa_main	condition	dbms	dbms,shell	u:r:d-bms:s0	402	libdbms.z.so	foundation/bundlemanager/distributed_bundle_framework/services/dbms/sa_profile/distributedbms.cfg,foundation/bundlemanager/distributed_bundle_framework/services/dbms/sa_profile/402.json
bundlemanager	installs	2	1	2	//foundation/systemabilitymgr/safwk/services/safwk:sa_main	ondemand	installs	installs,update	u:r:installs:s0	511	libinstalls.z.so	foundation/bundlemanager/bundle_framework/services/bundlemgr/installs.cfg,foundation/bundlemanager/bundle_framework/services/bundlemgr/installs_npapi.cfg,foundation/bundlemanager/bundle_framework/sa_profile/511.json
castplus	cast_engine_service	1	1	2	//foundation/systemabilitymgr/safwk/services/safwk:sa_main	ondemand	cast_engine_service	cast_engine_service,shell,access_token	u:r:cast_engine_service:s0	5526	libcast_engine_service.z.so	foundation/CastEngine/castengine_cast_framework/etc/init/cast_engine_service.cfg,foundation/CastEngine/castengine_cast_framework/sa_profile/5526.json
castplus	sharing_service	1	2	2	//foundation/systemabilitymgr/safwk/services/safwk:sa_main	boot	audio	system,audio,root,vendor_mpp_driver	u:r:sharing_service:s0	5527,5528	libsharing_service.z.so	foundation/CastEngine/castengine_wifi_display/services/etc/sharing_service.cfg,foundation/CastEngine/castengine_wifi_display/sa_profile/5527.json,foundation/CastEngine/castengine_wifi_display/sa_profile/5528.json
communication	bluetooth_service	1	1	2	//foundation/systemabilitymgr/safwk/services/safwk:sa_main		bluetooth	bluetooth,shell	u:r:bluetooth_service:s0	1130	libbluetooth_server.z.so	foundation/communication/bluetooth_service/services/bluetooth/etc/init/bluetooth_service.cfg,foundation/communication/bluetooth_service/sa_profile/1130.json
communication	fusion_ranging	1	1	2	//foundation/systemabilitymgr/safwk/services/safwk:sa_main	ondemand	fusion_ranging	fusion_ranging,shell	u:r:fusion_ranging:s0	8631	/system/lib64/libfusion_ranging_server.z.so	foundation/communication/fusion_connectivity/fusion_ranging/services/etc/init/fusion_ranging.cfg,foundation/communication/fusion_connectivity/fusion_ranging/sa_profile/8631.json
communication	mdnsmanager	1	1	2	//foundation/systemabilitymgr/safwk/services/safwk:sa_main	ondemand	net_manager	net_manager,system,shell	u:r:mdnsmanager:s0	1161	libmdns_manager.z.so	foundation/communication/netmanager_ext/services/etc/init/mdnsmanager.cfg,foundation/communication/netmanager_ext/sa_profile/1161.json
communication	netmanager	1	10	3	//foundation/systemabilitymgr/safwk/services/safwk:sa_main		net_manager	net_manager,system,shell,dhcp,netsys_socket	u:r:netmanager:s0	8301,8300,8400,1154,1153,1157,1152,1156,1155,1151	libnetworkslice_manager.z.so,libnetfirewall_manager.z.so,libwearable_distributed_net_manager.z.so,libnet_tether_manager.z.so,libnet_stats_manager.z.so,libethernet_manager.z.so,libnet_policy_manager.z.so,libdns_resolver_manager.z.so,libnet_vpn_manager.z.so,libnet_conn_manager.z.so	foundation/communication/netmanager_base/services/etc/init/netmanager_base.cfg,foundation/communication/netmanager_ext/sa_profile/8301.json,foundation/communication/netmanager_ext/sa_profile/8300.json,foundation/communication/netmanager_ext/sa_profile/8400.json,foundation/communication/netmanager_base/sa_profile/1154.json,foundation/communication/netmanager_base/sa_profile/1153.json,foundation/communication/netmanager_base/sa_profile/1157.json,foundation/communication/netmanager_base/sa_profile/1152.json,foundation/communication/netmanager_base/sa_profile/1156.json,foundation/communication/netmanager_base/sa_profile/1155.json,foundation/communication/netmanager_base/sa_profile/1151.json
communication	netsysnative	1	1	2	//foundation/systemabilitymgr/safwk/services/safwk:sa_main		netsysnative	netsysnative,net_manager,system,shell,root,bluetooth,netsys_socket,dev_tun_access	u:r:netsysnative:s0	1158	libnetsys_native_manager.z.so	foundation/communication/netmanager_base/services/etc/init/netsysnative.cfg,foundation/communication/netmanager_base/sa_profile/1158.json
communication	nfc_service	1	1	2	//foundation/systemabilitymgr/safwk/services/safwk:sa_main	ondemand	nfc	nfc,shell	u:r:nfc_service:s0	1140	libnfc_service.z.so	foundation/communication/nfc/services/etc/init/nfc_service.cfg,foundation/communication/nfc/sa_profile/1140.json
communication	nfc_tag_service	1	1	2	//foundation/systemabilitymgr/safwk/services/safwk:sa_main		nfc_tag	nfc_tag,shell	u:r:nfc_tag_service:s0	1148	libnfc_tag_service.z.so	foundation/communication/connected_nfc_tag/services/etc/init/nfc_tag_service.cfg,foundation/communication/connected_nfc_tag/sa_profile/1148.json
communication	partner_device_agent	1	1	2	//foundation/systemabilitymgr/safwk/services/safwk:sa_main	ondemand	partner_device_agent	partner_device_agent,shell	u:r:partner_device_agent:s0	8630	/system/lib64/libpartner_device_agent_server.z.so	foundation/communication/fusion_connectivity/partner_agent/services/etc/init/fusion_connectivity.cfg,foundation/communication/fusion_connectivity/partner_agent/sa_profile/8630.json
communication	softbus_server	2	1	2	//foundation/communication/dsoftbus/core/frame:softbus_server,//foundation/systemabilitymgr/safwk/services/safwk:sa_main		dsoftbus	dsoftbus,system,shell,netsys_socket	u:r:softbus_server:s0	4700	libsoftbus_server.z.so	foundation/communication/dsoftbus/core/frame/standard/init/src/softbus_server_musl.cfg,foundation/communication/dsoftbus/core/frame/standard/init/src/softbus_server.cfg,foundation/communication/dsoftbus/core/frame/standard/sa_profile/4700.json
communication	wifi_hal_service	1	0	1		condition	wifi	wifi,shell,dhcp,oeminfo_nvme_server,update,netsys_socket,virt_device	u:r:wifi_hal_service:s0			foundation/communication/wifi/wifi/relation_services/etc/init/wifi_hal_service.cfg
communication	wifi_manager_service	1	6	3	//foundation/communication/wifi/wifi/services/wifi_standard/wifi_framework/wifi_manage:wifi_manager_service,//foundation/systemabilitymgr/safwk/services/safwk:sa_main	ondemand	wifi	wifi,shell,dhcp,netsys_socket	u:r:wifi_manager_service:s0	1127,1126,1120,1121,1123,1124	libdhcp_server.z.so,libdhcp_client.z.so,libwifi_device_ability.z.so,libwifi_hotspot_ability.z.so,libwifi_p2p_ability.z.so,libwifi_scan_ability.z.so	foundation/communication/wifi/wifi/services/wifi_standard/etc/init/wifi_standard.cfg,foundation/communication/dhcp/services/sa_profile/1127.json,foundation/communication/dhcp/services/sa_profile/1126.json,foundation/communication/wifi/wifi/services/wifi_standard/sa_profile/1120.json,foundation/communication/wifi/wifi/services/wifi_standard/sa_profile/1121.json,foundation/communication/wifi/wifi/services/wifi_standard/sa_profile/1123.json,foundation/communication/wifi/wifi/services/wifi_standard/sa_profile/1124.json
deviceprofile	deviceprofile	1	1	2	//foundation/systemabilitymgr/safwk/services/safwk:sa_main	ondemand	dms	dms,shell	u:r:distributedsche:s0	6001	libdistributed_device_profile_svr.z.so	foundation/deviceprofile/device_info_manager/etc/init/deviceprofile.cfg,foundation/deviceprofile/device_info_manager/sa_profile/6001.json
distributeddatamgr	distributeddata	1	1	2	//foundation/systemabilitymgr/safwk/services/safwk:sa_main		ddms	system,shell,readproc,ddms,dfs_share,data_reserve	u:r:distributeddata:s0	1301	libdistributeddataservice.z.so	foundation/distributeddatamgr/datamgr_service/services/distributeddataservice/app/distributed_data.cfg,foundation/distributeddatamgr/datamgr_service/services/distributeddataservice/sa_profile/1301.json
