subsystem	path	repository	head	branch	changed_entries	component_count	literal_gn_target_count	coverage_status
ability	foundation/ability/ability_base	ability_ability_base	6a91e652d8c92206c057f3c8eba12cbf524cbed0	DETACHED	0	1	123	component-and-targets
ability	foundation/ability/ability_cangjie_wrapper	ability_ability_cangjie_wrapper	7d6d3df867c48ec093c89bc244b52f68dbabd098	DETACHED	0	1	27	component-and-targets
ability	foundation/ability/ability_lite	ability_ability_lite	ac5b043bc0b53cfa3c3da9e5f87c0ee5d14df803	DETACHED	0	1	25	component-and-targets
ability	foundation/ability/ability_runtime	ability_ability_runtime	4016e34d3a88c534e15a563b280d7292cc576bfd	DETACHED	0	1	3810	component-and-targets
ability	foundation/ability/dmsfwk	ability_dmsfwk	917721001d3ae1959d325c6d963a1a0fc7bd09cf	DETACHED	0	1	233	component-and-targets
ability	foundation/ability/dmsfwk_lite	ability_dmsfwk_lite	ec4496e2dabd1233aebe6db3ed96955cb02622c8	DETACHED	0	1	5	component-and-targets
ability	foundation/ability/form_fwk	ability_form_fwk	ea1bbf047db68c32a9b7910090925377d3743751	DETACHED	0	1	675	component-and-targets
ability	foundation/ability/idl_tool	ability_idl_tool	92feeaff367dd38d5c42e772b790826fdb0afb2e	DETACHED	0	1	146	component-and-targets
ai	foundation/ai/ai_engine	ai_engine	8349d119d4fa3a4086ac1c479f7082a666d48565	DETACHED	0	1	57	component-and-targets
ai	foundation/ai/intelligent_voice_framework	ai_intelligent_voice_framework	630177fce145c5d811ed143fbd54b484ea9a6e4b	DETACHED	0	1	37	component-and-targets
ai	foundation/ai/neural_network_runtime	ai_neural_network_runtime	a96dfb55b6bf10efdcfd086e2c3a380e919e509c	DETACHED	0	1	89	component-and-targets
arkui	foundation/arkui/ace_engine	arkui_ace_engine	0a10726e194660dc7f196c353af9b67561996e0b	DETACHED	0	1	1358	component-and-targets
arkui	foundation/arkui/ace_engine_lite	arkui_ace_engine_lite	29df4e6643e5c34307d224582362cc9b190ed309	DETACHED	0	1	79	component-and-targets
arkui	foundation/arkui/advanced_ui_component	arkui_advanced_ui_component	cb9c34aff3177469edcf22755b6f37e66b932218	DETACHED	0	1	45	component-and-targets
arkui	foundation/arkui/arkui_cangjie_wrapper	arkui_arkui_cangjie_wrapper	ff300a148dd614083f54f449c345bedaf3319f30	DETACHED	0	1	96	component-and-targets
arkui	foundation/arkui/napi	arkui_napi	224c782ecfbec812762d9d9006d78ca0ba42f25a	DETACHED	0	1	139	component-and-targets
arkui	foundation/arkui/ui_appearance	arkui_ui_appearance	faa6713988bdaa8a48f3a0a292e2c94a004bed98	DETACHED	0	1	28	component-and-targets
arkui	foundation/arkui/ui_lite	arkui_ui_lite	9a54019c9219f957b00bfa49179be6f1c2c90173	DETACHED	0	1	28	component-and-targets
barrierfree	foundation/barrierfree/accessibility	accessibility	6f321db4df6ca86d719b909db185d5dc038a0f3b	DETACHED	0	1	199	component-and-targets
bundlemanager	foundation/bundlemanager/app_domain_verify	bundlemanager_app_domain_verify	1acb08bb7c95eff9455cf095f1976a1b795f0213	DETACHED	0	1	80	component-and-targets
bundlemanager	foundation/bundlemanager/bundle_framework	bundlemanager_bundle_framework	95b7bd5e3e6f417041b4866a6b1f93172f8bf58e	DETACHED	0	1	1530	component-and-targets
bundlemanager	foundation/bundlemanager/bundle_framework_lite	bundlemanager_bundle_framework_lite	f1872d3395534290782007c630ecc77c73c59dc7	DETACHED	0	1	16	component-and-targets
bundlemanager	foundation/bundlemanager/bundle_tool	bundlemanager_bundle_tool	52bf1fe09a9db8fe6fca8ea0cad6bcfef14ce16e	DETACHED	0	1	43	component-and-targets
bundlemanager	foundation/bundlemanager/bundlemanager_cangjie_wrapper	bundlemanager_bundlemanager_cangjie_wrapper	1bb4727caa1e2d151c26e281a539b148d489aeb6	DETACHED	0	1	6	component-and-targets
bundlemanager	foundation/bundlemanager/distributed_bundle_framework	bundlemanager_distributed_bundle_framework	a5e0c0893b8d3fc7c30b80729e6391d53b606fce	DETACHED	0	1	36	component-and-targets
bundlemanager	foundation/bundlemanager/ecological_rule_manager	bundlemanager_ecological_rule_manager	dc60fae80b4c6ae40ec4551b04da7c89d1e40668	DETACHED	0	1	11	component-and-targets
castplus	foundation/CastEngine/castengine_cast_framework	castengine_cast_framework	64feaf61e02f31a0e608de4ec30690c4f9ff9966	DETACHED	0	1	27	component-and-targets
castplus	foundation/CastEngine/castengine_cast_plus_stream	castengine_cast_plus_stream	29dbb17ba7888f4d0c9b831df3b98751df025547	DETACHED	0	0	12	repository-targets-only
castplus	foundation/CastEngine/castengine_wifi_display	castengine_wifi_display	b923a383f9d2b5c9c19ed1619d075d56161f3435	DETACHED	0	1	150	component-and-targets
communication	foundation/communication/bluetooth	communication_bluetooth	d941bbd1e4595a1976bb67a24955dcb4787b3ac0	DETACHED	0	1	107	component-and-targets
communication	foundation/communication/bluetooth_service	communication_bluetooth_service	9fa1f8aee8e37a1df26e56d39e6b6b3a9303b43b	DETACHED	0	1	91	component-and-targets
communication	foundation/communication/communication_cangjie_wrapper	communication_communication_cangjie_wrapper	018cbd0844e9380f32b86832c0423c2fefb3e722	DETACHED	0	1	3	component-and-targets
communication	foundation/communication/connected_nfc_tag	communication_connected_nfc_tag	f6e27a0939cb605da53430b0249811d453604e21	DETACHED	0	1	34	component-and-targets
communication	foundation/communication/connectivity_cangjie_wrapper	connectivity_connectivity_cangjie_wrapper	d48127c96cf34db21d8aad277064cab3a3daf367	DETACHED	0	1	10	component-and-targets
communication	foundation/communication/dhcp	communication_dhcp	6c712a8be36d1132437d74d0cb90dce76ecb202c	DETACHED	0	1	50	component-and-targets
communication	foundation/communication/dsoftbus	communication_dsoftbus	cfef0c434ee82c1504ea14bdc45d9a8cd7064677	DETACHED	0	1	977	component-and-targets
communication	foundation/communication/fusion_connectivity	communication_fusion_connectivity	0898aa45e2de45eab1b5a69511a77ae54ee7b0d1	DETACHED	0	1	71	component-and-targets
communication	foundation/communication/ipc	communication_ipc	d8329e309c516aaebb238766a99f3424f1a6c083	DETACHED	0	1	424	component-and-targets
communication	foundation/communication/netmanager_base	communication_netmanager_base	84278ec01fdd4f6815321d1ab13f8f642ec462a1	DETACHED	0	1	220	component-and-targets
communication	foundation/communication/netmanager_cangjie_wrapper	netmanager_netmanager_cangjie_wrapper	1b8b2eaba9fa9d05abd142c6cecfb2868f09c824	DETACHED	0	1	5	component-and-targets
communication	foundation/communication/netmanager_ext	communication_netmanager_ext	2de6cf12b48e31d364474adf4f23884758d718c8	DETACHED	0	1	165	component-and-targets
communication	foundation/communication/netstack	communication_netstack	f7de1d365c0a17f45394fb2ad1cdeb808a9d6deb	DETACHED	0	1	100	component-and-targets
communication	foundation/communication/nfc	communication_nfc	9cdaa884a674de61c96c0f86b673ec40d6ee6b68	DETACHED	0	1	271	component-and-targets
communication	foundation/communication/t2stack	communication_t2stack	fbf280db18092eb00bb065e59ce6676c7b85b8c9	DETACHED	0	1	27	component-and-targets
communication	foundation/communication/wifi	communication_wifi	087c24144324ef7372edac906cab503c5b8ad2e7	DETACHED	0	1	178	component-and-targets
communication	foundation/communication/wifi_aware	communication_wifi_aware	2b64ed2d586c2ad82d272003a74e69a4efc15672	DETACHED	0	1	1	component-and-targets
communication	foundation/communication/wifi_lite	communication_wifi_lite	ad028ee75dd94f62ea9f798e98bdbad6c7f6172a	DETACHED	0	1	2	component-and-targets
deviceprofile	foundation/deviceprofile/device_info_manager	deviceprofile_device_info_manager	201d32b26b6697396f43bd05f7d5b99e4624508f	DETACHED	0	1	92	component-and-targets
distributeddatamgr	foundation/distributeddatamgr/data_object	distributeddatamgr_data_object	5bec635c768fe264fc3e10b54834b97eb7674d2a	DETACHED	0	1	74	component-and-targets
distributeddatamgr	foundation/distributeddatamgr/data_share	distributeddatamgr_data_share	54c95583bb44d74d2a6c861920a620a2f22c2c9a	DETACHED	0	1	227	component-and-targets
distributeddatamgr	foundation/distributeddatamgr/datamgr_service	distributeddatamgr_datamgr_service	82ee3bc90ee3905165b6aae6619145279e535669	DETACHED	0	1	340	component-and-targets
distributeddatamgr	foundation/distributeddatamgr/distributeddatamgr_cangjie_wrapper	distributeddatamgr_distributeddatamgr_cangjie_wrapper	d74a5b563b9836941610a9ac15ddb74a7e0594bb	DETACHED	0	1	8	component-and-targets
distributeddatamgr	foundation/distributeddatamgr/distributedfile	distributeddatamgr_file	1f128b3753d9687f7a9c7538d07c819296e40cf4	DETACHED	0	0	0	repository-only
distributeddatamgr	foundation/distributeddatamgr/kv_store	distributeddatamgr_kv_store	2e51f77ced7801d3347690d200be195f5a6f457e	DETACHED	0	1	588	component-and-targets
distributeddatamgr	foundation/distributeddatamgr/pasteboard	distributeddatamgr_pasteboard	35660a32771f384d071dea57674f61ab9aad36fd	DETACHED	0	1	112	component-and-targets
distributeddatamgr	foundation/distributeddatamgr/preferences	distributeddatamgr_preferences	ccee713e0bd3eef1e55fa3a4c73749b7c46271c3	DETACHED	0	1	95	component-and-targets
distributeddatamgr	foundation/distributeddatamgr/relational_store	distributeddatamgr_relational_store	a9d328956a8436bddd9a648c52942e3b8c798bee	DETACHED	0	1	323	component-and-targets
distributeddatamgr	foundation/distributeddatamgr/udmf	distributeddatamgr_udmf	f49d48dbbd6ca802e0a6047affa9c75d4b210e96	DETACHED	0	1	124	component-and-targets
distributedhardware	foundation/distributedhardware/device_manager	distributedhardware_device_manager	470c45247e1a6b5daaae6a93b4bae4d06c569c01	DETACHED	0	1	396	component-and-targets
distributedhardware	foundation/distributedhardware/distributed_audio	distributedhardware_distributed_audio	4baeceddda73fb6743ae7e2dfe175fbd1ea6d525	DETACHED	0	1	226	component-and-targets
distributedhardware	foundation/distributedhardware/distributed_camera	distributedhardware_distributed_camera	dbe2f9bcec9771a8aba4c97b0976223d1ebfde7d	DETACHED	0	1	237	component-and-targets
distributedhardware	foundation/distributedhardware/distributed_hardware_fwk	distributedhardware_distributed_hardware_fwk	20b774669caa85ad25eb028fd18cf8b9898aafe3	DETACHED	0	1	336	component-and-targets
distributedhardware	foundation/distributedhardware/distributed_input	distributedhardware_distributed_input	484d5ca485789ab115e00fb1a28d2db981084f00	DETACHED	0	1	112	component-and-targets
distributedhardware	foundation/distributedhardware/distributed_screen	distributedhardware_distributed_screen	032e8b796ed86a0c372bdb7b720241953145c228	DETACHED	0	1	146	component-and-targets
distributedhardware	foundation/distributedhardware/mechbody_controller	distributedhardware_mechbody_controller	103809462888ab356fe38f467583f4fa55b56e4f	DETACHED	0	1	212	component-and-targets
filemanagement	foundation/filemanagement/app_file_service	filemanagement_app_file_service	ded61716d451f7e3b3d0f6965f5744bfe2991cae	DETACHED	0	1	222	component-and-targets
filemanagement	foundation/filemanagement/dfs_service	filemanagement_dfs_service	495de2cd5961e83a5a4286bac44b3187bf8d538e	DETACHED	0	1	429	component-and-targets
filemanagement	foundation/filemanagement/disk_manager	filemanagement_disk_manager	5567f6de8eec7df0b300ba9e17f94b2dc4ee1a1b	DETACHED	0	1	51	component-and-targets
filemanagement	foundation/filemanagement/file_api	filemanagement_file_api	c56e641338307e323984a6173255560d489b170c	DETACHED	0	1	105	component-and-targets
filemanagement	foundation/filemanagement/filemanagement_cangjie_wrapper	filemanagement_filemanagement_cangjie_wrapper	5f8c3377a10a6d462edb07ca784239ac08b122d2	DETACHED	0	1	5	component-and-targets
filemanagement	foundation/filemanagement/storage_service	filemanagement_storage_service	1f7b4fbcc857fb5500b9fe002743d6d84eb023f4	DETACHED	0	1	689	component-and-targets
filemanagement	foundation/filemanagement/user_file_service	filemanagement_user_file_service	0186acbe2febd0a3395184fab81d9232799c6bfe	DETACHED	0	1	146	component-and-targets
graphic	foundation/graphic/graphic_2d	graphic_graphic_2d	18c31917473cd05c54fe6c993c4485e0a21f5c98	DETACHED	0	1	2085	component-and-targets
graphic	foundation/graphic/graphic_3d	graphic_graphic_3d	81df080e9b88376962d3a59457455b71d297b46c	DETACHED	0	1	230	component-and-targets
graphic	foundation/graphic/graphic_cangjie_wrapper	graphic_graphic_cangjie_wrapper	03c3f6f99e7978c550140d2a87f9e2fe12d0a9f3	DETACHED	0	1	4	component-and-targets
graphic	foundation/graphic/graphic_surface	graphic_graphic_surface	6df1d80e3413050dfa4383ae36cd5cc2bbb81581	DETACHED	0	1	114	component-and-targets
graphic	foundation/graphic/graphic_utils_lite	graphic_graphic_utils_lite	be0cf30c9eb4be4af5e5d71cd62eb831291ef675	DETACHED	0	1	14	component-and-targets
