host_subsystem	process	entity_type	owner_subsystem	owner_component	executable	sa_id	library	start_mode	ondemand	run_on_create	uid	gid	selinux_domain	evidence_file	mapping_method
ability	aimgr	init-service	ability	ability_runtime	/system/bin/sa_main /system/profile/aimgr.json			ondemand	true		aimgr	system	u:r:aimgr:s0	foundation/ability/ability_runtime/cli_tool_framework/etc/profile/aimgr.cfg	component-prefix
ability	aimgr	system-ability	ability	ability_runtime		186	libclimgr.z.so			false				foundation/ability/ability_runtime/services/sa_profile/186.json	component-prefix
ability	distributedsched	init-service	ability	dmsfwk	/system/bin/sa_main /system/profile/distributedsched.json			ondemand	true		dms	dms,shell,access_token	u:r:distributedsche:s0	foundation/ability/dmsfwk/etc/init/distributedsched.cfg	component-prefix
ability	distributedsched	system-ability	ability	dmsfwk		1401	libdistributedschedsvr.z.so			false				foundation/ability/dmsfwk/sa_profile/1401.json	component-prefix
ability	quick_fix	init-service	ability	ability_runtime	/system/bin/sa_main /system/profile/quick_fix.json			ondemand	true		quickfixserver	system	u:r:quick_fix:s0	foundation/ability/ability_runtime/services/quickfixmgr/quick_fix.cfg	component-prefix
ability	quick_fix	system-ability	ability	ability_runtime		184	libquickfixms.z.so			false				foundation/ability/ability_runtime/services/sa_profile/184.json	component-prefix
ability	service_router	init-service	ability	ability_runtime	/system/bin/sa_main /system/profile/service_router.json			condition	true		servicerouter	servicerouter	u:r:service_router:s0	foundation/ability/ability_runtime/service_router_framework/services/srms/sa_profile/srms.cfg	component-prefix
ability	service_router	system-ability	ability	ability_runtime		404	libsrms.z.so			false				foundation/ability/ability_runtime/service_router_framework/services/srms/sa_profile/404.json	component-prefix
ai	intell_voice_service	init-service	ai	intelligent_voice_framework	/system/bin/sa_main /system/profile/intell_voice_service.json			ondemand	true		intell_voice	system,intell_voice	u:r:intell_voice_service:s0	foundation/ai/intelligent_voice_framework/services/etc/intell_voice_service.cfg	component-prefix
ai	intell_voice_service	system-ability	ai	intelligent_voice_framework		312	libintell_voice_server.z.so			false				foundation/ai/intelligent_voice_framework/sa_profile/intell_voice_service.json	component-prefix
arkui	ui_sa	init-service	arkui	ace_engine	/system/bin/sa_main /system/profile/16666.json						ui_sa	ui_sa,shell		foundation/arkui/ace_engine/interfaces/inner_api/ui_session/ui_session_sample/ui_sa.cfg	component-prefix
arkui	ui_sa	system-ability	arkui	ace_engine		16666	libui_sa.z.so			true				foundation/arkui/ace_engine/interfaces/inner_api/ui_session/ui_session_sample/16666.json	component-prefix
arkui	ui_service	init-service	arkui	ace_engine	/system/bin/sa_main /system/profile/ui_service.json						uiserver	system,shell	u:r:ui_service:s0	foundation/arkui/ace_engine/adapter/ohos/services/uiservice/ui_service.cfg	component-prefix
arkui	ui_service	system-ability	arkui	ace_engine		7001	libuiservice.z.so			true				foundation/arkui/ace_engine/adapter/ohos/sa_profile/7001.json	component-prefix
arkui	ui_service	system-ability	arkui	ui_appearance		7002	libui_appearance_service.z.so			true				foundation/arkui/ui_appearance/sa_profile/7002.json	component-prefix
barrierfree	accessibility	init-service	barrierfree	accessibility	/system/bin/sa_main /system/profile/accessibility.json						accessibility	accessibility,shell	u:r:accessibility:s0	foundation/barrierfree/accessibility/sa_profile/accessibility.cfg	component-prefix
barrierfree	accessibility	system-ability	barrierfree	accessibility		801	libaccessibleabilityms.z.so			false				foundation/barrierfree/accessibility/sa_profile/801_dynamic.json	component-prefix
barrierfree	accessibility	system-ability	barrierfree	accessibility		801	libaccessibleabilityms.z.so			true				foundation/barrierfree/accessibility/sa_profile/801.json	component-prefix
bundlemanager	app_domain_verify_agent	init-service	bundlemanager	app_domain_verify	/system/bin/sa_main /system/profile/app_domain_verify_agent.json			ondemand	true		app_domain_verify	app_domain_verify,system,shell,netsys_socket	u:r:app_domain_verify_agent:s0	foundation/bundlemanager/app_domain_verify/etc/init/app_domain_verify_agent.cfg	component-prefix
bundlemanager	app_domain_verify_agent	system-ability	bundlemanager	app_domain_verify		6201	libapp_domain_verify_agent_service.z.so			false				foundation/bundlemanager/app_domain_verify/profile/6201.json	component-prefix
bundlemanager	d-bms	init-service	bundlemanager	distributed_bundle_framework	/system/bin/sa_main /system/profile/d-bms.json			condition	true		dbms	dbms,shell	u:r:d-bms:s0	foundation/bundlemanager/distributed_bundle_framework/services/dbms/sa_profile/distributedbms.cfg	component-prefix
bundlemanager	d-bms	system-ability	bundlemanager	distributed_bundle_framework		402	libdbms.z.so			false				foundation/bundlemanager/distributed_bundle_framework/services/dbms/sa_profile/402.json	component-prefix
bundlemanager	installs	init-service	bundlemanager	bundle_framework	/system/bin/sa_main /system/profile/installs.json			ondemand	true		installs	installs,update	u:r:installs:s0	foundation/bundlemanager/bundle_framework/services/bundlemgr/installs_npapi.cfg	component-prefix
bundlemanager	installs	init-service	bundlemanager	bundle_framework	/system/bin/sa_main /system/profile/installs.json			ondemand	true		installs	installs,update	u:r:installs:s0	foundation/bundlemanager/bundle_framework/services/bundlemgr/installs.cfg	component-prefix
bundlemanager	installs	system-ability	bundlemanager	bundle_framework		511	libinstalls.z.so			false				foundation/bundlemanager/bundle_framework/sa_profile/511.json	component-prefix
castplus	cast_engine_service	init-service	castplus	cast_engine	/system/bin/sa_main /system/profile/cast_engine_service.json			ondemand	true		cast_engine_service	cast_engine_service,shell,access_token	u:r:cast_engine_service:s0	foundation/CastEngine/castengine_cast_framework/etc/init/cast_engine_service.cfg	component-prefix
castplus	cast_engine_service	system-ability	castplus	cast_engine		5526	libcast_engine_service.z.so			false				foundation/CastEngine/castengine_cast_framework/sa_profile/5526.json	component-prefix
castplus	sharing_service	init-service	castplus	sharing_framework	/system/bin/sa_main /system/profile/sharing_service.json			boot	false		audio	system,audio,root,vendor_mpp_driver	u:r:sharing_service:s0	foundation/CastEngine/castengine_wifi_display/services/etc/sharing_service.cfg	component-prefix
castplus	sharing_service	system-ability	castplus	sharing_framework		5527	libsharing_service.z.so			true				foundation/CastEngine/castengine_wifi_display/sa_profile/5527.json	component-prefix
castplus	sharing_service	system-ability	castplus	sharing_framework		5528	libsharing_service.z.so			true				foundation/CastEngine/castengine_wifi_display/sa_profile/5528.json	component-prefix
communication	bluetooth_service	init-service	communication	bluetooth_service	/system/bin/sa_main /system/profile/bluetooth_service.json						bluetooth	bluetooth,shell	u:r:bluetooth_service:s0	foundation/communication/bluetooth_service/services/bluetooth/etc/init/bluetooth_service.cfg	component-prefix
communication	bluetooth_service	system-ability	communication	bluetooth_service		1130	libbluetooth_server.z.so			true				foundation/communication/bluetooth_service/sa_profile/1130.json	component-prefix
communication	fusion_ranging	init-service	communication	fusion_connectivity	/system/bin/sa_main /system/profile/fusion_ranging.json			ondemand	true		fusion_ranging	fusion_ranging,shell	u:r:fusion_ranging:s0	foundation/communication/fusion_connectivity/fusion_ranging/services/etc/init/fusion_ranging.cfg	component-prefix
communication	fusion_ranging	system-ability	communication	fusion_connectivity		8631	/system/lib64/libfusion_ranging_server.z.so			false				foundation/communication/fusion_connectivity/fusion_ranging/sa_profile/8631.json	component-prefix
communication	mdnsmanager	init-service	communication	netmanager_ext	/system/bin/sa_main /system/profile/mdnsmanager.json			ondemand	true		net_manager	net_manager,system,shell	u:r:mdnsmanager:s0	foundation/communication/netmanager_ext/services/etc/init/mdnsmanager.cfg	component-prefix
communication	mdnsmanager	system-ability	communication	netmanager_ext		1161	libmdns_manager.z.so			true				foundation/communication/netmanager_ext/sa_profile/1161.json	component-prefix
communication	netmanager	init-service	communication	netmanager_base	/system/bin/sa_main /system/profile/netmanager.json						net_manager	net_manager,system,shell,dhcp,netsys_socket	u:r:netmanager:s0	foundation/communication/netmanager_base/services/etc/init/netmanager_base.cfg	component-prefix
communication	netmanager	system-ability	communication	netmanager_base		1151	libnet_conn_manager.z.so			true				foundation/communication/netmanager_base/sa_profile/1151.json	component-prefix
communication	netmanager	system-ability	communication	netmanager_base		1152	libnet_policy_manager.z.so			true				foundation/communication/netmanager_base/sa_profile/1152.json	component-prefix
communication	netmanager	system-ability	communication	netmanager_base		1153	libnet_stats_manager.z.so			true				foundation/communication/netmanager_base/sa_profile/1153.json	component-prefix
communication	netmanager	system-ability	communication	netmanager_base		1154	libnet_tether_manager.z.so			true				foundation/communication/netmanager_base/sa_profile/1154.json	component-prefix
communication	netmanager	system-ability	communication	netmanager_base		1155	libnet_vpn_manager.z.so			false				foundation/communication/netmanager_base/sa_profile/1155.json	component-prefix
communication	netmanager	system-ability	communication	netmanager_base		1156	libdns_resolver_manager.z.so			true				foundation/communication/netmanager_base/sa_profile/1156.json	component-prefix
communication	netmanager	system-ability	communication	netmanager_base		1157	libethernet_manager.z.so			true				foundation/communication/netmanager_base/sa_profile/1157.json	component-prefix
communication	netmanager	system-ability	communication	netmanager_ext		8300	libnetfirewall_manager.z.so			false				foundation/communication/netmanager_ext/sa_profile/8300.json	component-prefix
communication	netmanager	system-ability	communication	netmanager_ext		8301	libnetworkslice_manager.z.so			true				foundation/communication/netmanager_ext/sa_profile/8301.json	component-prefix
communication	netmanager	system-ability	communication	netmanager_ext		8400	libwearable_distributed_net_manager.z.so			false				foundation/communication/netmanager_ext/sa_profile/8400.json	component-prefix
communication	netsysnative	init-service	communication	netmanager_base	/system/bin/sa_main /system/profile/netsysnative.json						netsysnative	netsysnative,net_manager,system,shell,root,bluetooth,netsys_socket,dev_tun_access	u:r:netsysnative:s0	foundation/communication/netmanager_base/services/etc/init/netsysnative.cfg	component-prefix
communication	netsysnative	system-ability	communication	netmanager_base		1158	libnetsys_native_manager.z.so			true				foundation/communication/netmanager_base/sa_profile/1158.json	component-prefix
communication	nfc_service	init-service	communication	nfc	/system/bin/sa_main /system/profile/nfc_service.json			ondemand	true		nfc	nfc,shell	u:r:nfc_service:s0	foundation/communication/nfc/services/etc/init/nfc_service.cfg	component-prefix
communication	nfc_service	system-ability	communication	nfc		1140	libnfc_service.z.so			false				foundation/communication/nfc/sa_profile/1140.json	component-prefix
