subsystem	repository_count	component_count	rk3568_selected_component_count	gn_target_count	production_target_count	test_target_count	build_support_target_count	aggregate_codegen_target_count
ability	8	8	5	5044	716	3677	312	339
ai	3	3	2	183	59	88	19	17
arkui	7	7	5	1773	713	609	174	277
barrierfree	1	1	1	199	31	131	26	11
bundlemanager	7	7	5	1722	148	1407	98	69
castplus	3	2	2	189	58	93	34	4
communication	18	18	11	2736	564	1810	235	127
deviceprofile	1	1	1	92	10	76	5	1
distributeddatamgr	10	9	8	1891	356	1185	242	108
distributedhardware	7	7	7	1665	134	1369	137	25
filemanagement	7	7	6	1647	246	1210	109	82
graphic	7	7	5	2476	251	1851	309	65
multimedia	18	18	13	4285	628	3073	412	172
multimodalinput	1	1	1	1372	149	1062	106	55
officeservice	1	1	1	105	10	74	20	1
resourceschedule	10	10	10	639	163	333	91	52
systemabilitymgr	5	5	3	221	75	72	55	19
window	3	3	1	1000	143	691	108	58
