subsystem	repository_path	build_file	line	target_type	target_name	gn_label	category
castplus	foundation/CastEngine/castengine_cast_plus_stream	foundation/CastEngine/castengine_cast_plus_stream/src/utils/BUILD.gn	16	config	cast_session_utils_config	//foundation/CastEngine/castengine_cast_plus_stream/src/utils:cast_session_utils_config	build-support
castplus	foundation/CastEngine/castengine_cast_plus_stream	foundation/CastEngine/castengine_cast_plus_stream/src/utils/BUILD.gn	24	ohos_static_library	cast_session_utils	//foundation/CastEngine/castengine_cast_plus_stream/src/utils:cast_session_utils	production
castplus	foundation/CastEngine/castengine_cast_plus_stream	foundation/CastEngine/castengine_cast_plus_stream/src/stream/BUILD.gn	16	config	cast_session_stream_config	//foundation/CastEngine/castengine_cast_plus_stream/src/stream:cast_session_stream_config	build-support
castplus	foundation/CastEngine/castengine_cast_plus_stream	foundation/CastEngine/castengine_cast_plus_stream/src/stream/BUILD.gn	29	ohos_static_library	cast_session_stream	//foundation/CastEngine/castengine_cast_plus_stream/src/stream:cast_session_stream	production
castplus	foundation/CastEngine/castengine_cast_plus_stream	foundation/CastEngine/castengine_cast_plus_stream/src/rtsp/BUILD.gn	15	config	cast_session_rtsp_config	//foundation/CastEngine/castengine_cast_plus_stream/src/rtsp:cast_session_rtsp_config	build-support
castplus	foundation/CastEngine/castengine_cast_plus_stream	foundation/CastEngine/castengine_cast_plus_stream/src/rtsp/BUILD.gn	19	ohos_static_library	cast_session_rtsp	//foundation/CastEngine/castengine_cast_plus_stream/src/rtsp:cast_session_rtsp	production
castplus	foundation/CastEngine/castengine_cast_plus_stream	foundation/CastEngine/castengine_cast_plus_stream/src/channel/BUILD.gn	15	config	cast_session_channel_config	//foundation/CastEngine/castengine_cast_plus_stream/src/channel:cast_session_channel_config	build-support
castplus	foundation/CastEngine/castengine_cast_plus_stream	foundation/CastEngine/castengine_cast_plus_stream/src/channel/BUILD.gn	19	ohos_static_library	cast_session_channel	//foundation/CastEngine/castengine_cast_plus_stream/src/channel:cast_session_channel	production
castplus	foundation/CastEngine/castengine_cast_plus_stream	foundation/CastEngine/castengine_cast_plus_stream/src/mirror/BUILD.gn	15	config	cast_session_mirror_config	//foundation/CastEngine/castengine_cast_plus_stream/src/mirror:cast_session_mirror_config	build-support
castplus	foundation/CastEngine/castengine_cast_plus_stream	foundation/CastEngine/castengine_cast_plus_stream/src/mirror/BUILD.gn	23	ohos_static_library	cast_session_mirror	//foundation/CastEngine/castengine_cast_plus_stream/src/mirror:cast_session_mirror	production
castplus	foundation/CastEngine/castengine_cast_plus_stream	foundation/CastEngine/castengine_cast_plus_stream/BUILD.gn	16	config	cast_session_config	//foundation/CastEngine/castengine_cast_plus_stream:cast_session_config	build-support
castplus	foundation/CastEngine/castengine_cast_plus_stream	foundation/CastEngine/castengine_cast_plus_stream/BUILD.gn	22	ohos_static_library	cast_session	//foundation/CastEngine/castengine_cast_plus_stream:cast_session	production
