subsystem	component	repository_path	build_file	line	target_type	target_name	target_label	category	mapping_method
hiviewdfx	api_metrics	base/hiviewdfx/hiviewdfx_api_metrics	base/hiviewdfx/hiviewdfx_api_metrics/BUILD.gn	16	config	manager_config	//base/hiviewdfx/hiviewdfx_api_metrics:manager_config	build-support	bundle-prefix
hiviewdfx	api_metrics	base/hiviewdfx/hiviewdfx_api_metrics	base/hiviewdfx/hiviewdfx_api_metrics/BUILD.gn	23	ohos_shared_library	histogrammanager	//base/hiviewdfx/hiviewdfx_api_metrics:histogrammanager	production	bundle-prefix
hiviewdfx	blackbox_lite	base/hiviewdfx/blackbox_lite	base/hiviewdfx/blackbox_lite/BUILD.gn	16	static_library	blackbox_lite	//base/hiviewdfx/blackbox_lite:blackbox_lite	production	bundle-prefix
hiviewdfx	faultloggerd	base/hiviewdfx/faultloggerd	base/hiviewdfx/faultloggerd/BUILD.gn	15	group	faultloggerd_targets	//base/hiviewdfx/faultloggerd:faultloggerd_targets	aggregate-codegen	bundle-prefix
hiviewdfx	faultloggerd	base/hiviewdfx/faultloggerd	base/hiviewdfx/faultloggerd/BUILD.gn	46	group	faultloggerd_tests	//base/hiviewdfx/faultloggerd:faultloggerd_tests	test	bundle-prefix
hiviewdfx	faultloggerd	base/hiviewdfx/faultloggerd	base/hiviewdfx/faultloggerd/common/build/BUILD.gn	18	config	coverage_flags	//base/hiviewdfx/faultloggerd/common/build:coverage_flags	build-support	bundle-prefix
hiviewdfx	faultloggerd	base/hiviewdfx/faultloggerd	base/hiviewdfx/faultloggerd/common/cppcrash_formatter/BUILD.gn	22	config	cppcrash_formatter_src_config	//base/hiviewdfx/faultloggerd/common/cppcrash_formatter:cppcrash_formatter_src_config	build-support	bundle-prefix
hiviewdfx	faultloggerd	base/hiviewdfx/faultloggerd	base/hiviewdfx/faultloggerd/common/cppcrash_formatter/BUILD.gn	34	source_set	cppcrash_formatter_src	//base/hiviewdfx/faultloggerd/common/cppcrash_formatter:cppcrash_formatter_src	production	bundle-prefix
hiviewdfx	faultloggerd	base/hiviewdfx/faultloggerd	base/hiviewdfx/faultloggerd/common/cppcrash_formatter/BUILD.gn	47	config	cppcrash_formatter_src_config	//base/hiviewdfx/faultloggerd/common/cppcrash_formatter:cppcrash_formatter_src_config	build-support	bundle-prefix
hiviewdfx	faultloggerd	base/hiviewdfx/faultloggerd	base/hiviewdfx/faultloggerd/common/cppcrash_formatter/BUILD.gn	58	ohos_source_set	cppcrash_formatter_src	//base/hiviewdfx/faultloggerd/common/cppcrash_formatter:cppcrash_formatter_src	production	bundle-prefix
hiviewdfx	faultloggerd	base/hiviewdfx/faultloggerd	base/hiviewdfx/faultloggerd/common/cppcrash_formatter/BUILD.gn	70	ohos_source_set	cppcrash_formatter_src_cfi	//base/hiviewdfx/faultloggerd/common/cppcrash_formatter:cppcrash_formatter_src_cfi	production	bundle-prefix
hiviewdfx	faultloggerd	base/hiviewdfx/faultloggerd	base/hiviewdfx/faultloggerd/common/cutil/BUILD.gn	17	static_library	dfx_cutil	//base/hiviewdfx/faultloggerd/common/cutil:dfx_cutil	production	bundle-prefix
hiviewdfx	faultloggerd	base/hiviewdfx/faultloggerd	base/hiviewdfx/faultloggerd/common/cutil/BUILD.gn	27	config	dfx_cutil_config	//base/hiviewdfx/faultloggerd/common/cutil:dfx_cutil_config	build-support	bundle-prefix
hiviewdfx	faultloggerd	base/hiviewdfx/faultloggerd	base/hiviewdfx/faultloggerd/common/cutil/BUILD.gn	35	ohos_static_library	dfx_cutil	//base/hiviewdfx/faultloggerd/common/cutil:dfx_cutil	production	bundle-prefix
hiviewdfx	faultloggerd	base/hiviewdfx/faultloggerd	base/hiviewdfx/faultloggerd/common/cutil/BUILD.gn	43	ohos_static_library	dfx_cutil_cfi	//base/hiviewdfx/faultloggerd/common/cutil:dfx_cutil_cfi	production	bundle-prefix
hiviewdfx	faultloggerd	base/hiviewdfx/faultloggerd	base/hiviewdfx/faultloggerd/common/dfxlog/BUILD.gn	17	config	dfx_log_config	//base/hiviewdfx/faultloggerd/common/dfxlog:dfx_log_config	build-support	bundle-prefix
hiviewdfx	faultloggerd	base/hiviewdfx/faultloggerd	base/hiviewdfx/faultloggerd/common/dfxlog/BUILD.gn	30	static_library	dfx_hilog	//base/hiviewdfx/faultloggerd/common/dfxlog:dfx_hilog	production	bundle-prefix
hiviewdfx	faultloggerd	base/hiviewdfx/faultloggerd	base/hiviewdfx/faultloggerd/common/dfxlog/BUILD.gn	35	config	dfx_log_config	//base/hiviewdfx/faultloggerd/common/dfxlog:dfx_log_config	build-support	bundle-prefix
hiviewdfx	faultloggerd	base/hiviewdfx/faultloggerd	base/hiviewdfx/faultloggerd/common/dfxlog/BUILD.gn	43	ohos_static_library	dfx_hilog	//base/hiviewdfx/faultloggerd/common/dfxlog:dfx_hilog	production	bundle-prefix
hiviewdfx	faultloggerd	base/hiviewdfx/faultloggerd	base/hiviewdfx/faultloggerd/common/dfxlog/BUILD.gn	53	ohos_static_library	dfx_hilog_cfi	//base/hiviewdfx/faultloggerd/common/dfxlog:dfx_hilog_cfi	production	bundle-prefix
hiviewdfx	faultloggerd	base/hiviewdfx/faultloggerd	base/hiviewdfx/faultloggerd/common/dfxutil/BUILD.gn	25	static_library	dfx_util	//base/hiviewdfx/faultloggerd/common/dfxutil:dfx_util	production	bundle-prefix
hiviewdfx	faultloggerd	base/hiviewdfx/faultloggerd	base/hiviewdfx/faultloggerd/common/dfxutil/BUILD.gn	42	config	dfx_util_config	//base/hiviewdfx/faultloggerd/common/dfxutil:dfx_util_config	build-support	bundle-prefix
hiviewdfx	faultloggerd	base/hiviewdfx/faultloggerd	base/hiviewdfx/faultloggerd/common/dfxutil/BUILD.gn	59	ohos_static_library	dfx_util	//base/hiviewdfx/faultloggerd/common/dfxutil:dfx_util	production	bundle-prefix
