subsystem	path	repository	head	branch	changed_entries	component_count	static_target_count	coverage_status	mapping_method
hiviewdfx	base/hiviewdfx/hiviewdfx_api_metrics	base/hiviewdfx/hiviewdfx_api_metrics		DETACHED	0	1	2	component-and-targets	bundle-prefix
hiviewdfx	base/hiviewdfx/blackbox_lite	base/hiviewdfx/blackbox_lite		DETACHED	0	1	1	component-and-targets	bundle-prefix
hiviewdfx	base/hiviewdfx/faultloggerd	base/hiviewdfx/faultloggerd		DETACHED	0	1	267	component-and-targets	bundle-prefix
hiviewdfx	base/hiviewdfx/hiappevent	base/hiviewdfx/hiappevent		DETACHED	0	1	42	component-and-targets	bundle-prefix
hiviewdfx	base/hiviewdfx/hichecker	base/hiviewdfx/hichecker		DETACHED	0	1	25	component-and-targets	bundle-prefix
hiviewdfx	base/hiviewdfx/hicollie	base/hiviewdfx/hicollie		DETACHED	0	1	37	component-and-targets	bundle-prefix
hiviewdfx	base/hiviewdfx/hidumper	base/hiviewdfx/hidumper		DETACHED	0	1	87	component-and-targets	bundle-prefix
hiviewdfx	base/hiviewdfx/hidumper_lite	base/hiviewdfx/hidumper_lite		DETACHED	0	1	3	component-and-targets	bundle-prefix
hiviewdfx	base/hiviewdfx/hievent_lite	base/hiviewdfx/hievent_lite		DETACHED	0	1	3	component-and-targets	bundle-prefix
hiviewdfx	base/hiviewdfx/hilog	base/hiviewdfx/hilog		DETACHED	0	1	53	component-and-targets	bundle-prefix
hiviewdfx	base/hiviewdfx/hilog_lite	base/hiviewdfx/hilog_lite		DETACHED	0	1	24	component-and-targets	bundle-prefix
hiviewdfx	base/hiviewdfx/hisysevent	base/hiviewdfx/hisysevent		DETACHED	0	1	47	component-and-targets	bundle-prefix
hiviewdfx	base/hiviewdfx/hitrace	base/hiviewdfx/hitrace		DETACHED	0	1	81	component-and-targets	bundle-prefix
hiviewdfx	base/hiviewdfx/hiview	base/hiviewdfx/hiview		DETACHED	0	1	509	component-and-targets	bundle-prefix
hiviewdfx	base/hiviewdfx/hiview_lite	base/hiviewdfx/hiview_lite		DETACHED	0	1	3	component-and-targets	bundle-prefix
hiviewdfx	base/hiviewdfx/hiviewdfx_cangjie_wrapper	base/hiviewdfx/hiviewdfx_cangjie_wrapper		DETACHED	0	1	6	component-and-targets	bundle-prefix
