path	repository	head	branch	changed_entries	staged	unstaged	untracked
applications/sample/camera	applications_sample_camera	e0ccd1d7670880906ca90f3bf2b90e614e76f03a	DETACHED	0	0	0	0
applications/sample/camera/communication	applications_camera_sample_communication	34195bfe52d168a279987ce3655af7ccb0fe6bd3	DETACHED	0	0	0	0
applications/sample/camera/screensaver	applications_camera_screensaver_app	21efcb82d22d179c3b8952e8590d80629cf26edc	DETACHED	0	0	0	0
applications/sample/wifi-iot	applications_sample_wifi_iot	40b972ac47c5df072a71a1ebdca8344ee1a33d3c	DETACHED	0	0	0	0
applications/standard/admin_provisioning	applications_admin_provisioning	664e922857762722a394812ab8ad4b80ed3ecafb	DETACHED	0	0	0	0
applications/standard/app_samples	applications_app_samples	89be0227b34d972e4c5dce8769571bd8018d1c29	DETACHED	10	10	0	0
applications/standard/applications_cangjie_wrapper	applications_applications_cangjie_wrapper	f6ba5ed21ef27d04ce81eed5fbde4ddee241bb88	DETACHED	0	0	0	0
applications/standard/auth_widget	applications_auth_widget	f1fe362bf9b1b65eddaf1058f7b56100bc4ad233	DETACHED	0	0	0	0
applications/standard/calendardata	applications_calendar_data	b7103c86ad7472e85a3f1347f720b9fb24b01f46	DETACHED	0	0	0	0
applications/standard/call	applications_call	76992727c045c9454016c244ea30916af695f397	DETACHED	0	0	0	0
applications/standard/camera	applications_camera	d329b7437501fa1ccb646f260df6097b41423196	DETACHED	0	0	0	0
applications/standard/contacts	applications_contacts	b9ab40d260a52afbe1ce63e08c9d0d8fc9efd6e2	DETACHED	0	0	0	0
applications/standard/contacts_data	applications_contacts_data	47f8656748342f050b6927e8e2f9d6bb3bc80aec	DETACHED	0	0	0	0
applications/standard/dlp_manager	applications_dlp_manager	59ff97410a6006b90553fc3c30bbb0327d0c1e1a	DETACHED	0	0	0	0
applications/standard/filepicker	applications_filepicker	2255fe0ce2e7e42ac015844f0027836f0b66d35c	DETACHED	0	0	0	0
applications/standard/hap	applications_hap	2f23504987fdd08a4d6f16489183b41bf2f020fc	DETACHED	0	0	0	0
applications/standard/launcher	applications_launcher	f75dfb6bf7276e942793b75e7a9081bbcd015843	DETACHED	0	0	0	0
applications/standard/mms	applications_mms	1073abdf51f41e0f6d44d63b344d30d5b95f023d	DETACHED	0	0	0	0
applications/standard/notes	applications_notes	4b3e0ef787f927b5c2d2f88428eb927b4498e240	DETACHED	0	0	0	0
applications/standard/permission_manager	applications_permission_manager	909d6e168c77f37fa102649986aaa1a711560e3c	DETACHED	0	0	0	0
applications/standard/photos	applications_photos	44ba19f89ff7f3df9cd8b29906ad26380920b4f3	DETACHED	0	0	0	0
applications/standard/printspooler	applications_print_spooler	6c3221b6661632ee5fe2ab2c5690bc0ba00896c7	DETACHED	0	0	0	0
applications/standard/screenlock	applications_screenlock	a190db88978d1014985dd89e45bf8e2a6be2fb14	DETACHED	0	0	0	0
applications/standard/screenshot	applications_screenshot	4deb15246a0cca41bbe0f7a1b29a8c4241bb675a	DETACHED	0	0	0	0
applications/standard/security_privacy_center	security_privacy_center	dd503cb80193d0a52782d63a850f3635b2fa43f0	DETACHED	0	0	0	0
