subsystem	component	part
ability	ability_base	ability:ability_base
ability	ability_runtime	ability:ability_runtime
ability	dmsfwk	ability:dmsfwk
ability	form_fwk	ability:form_fwk
ability	idl_tool	ability:idl_tool
accesscontrol	sandbox_manager	accesscontrol:sandbox_manager
account	os_account	account:os_account
advertising	advertising	advertising:advertising
advertising	oaid	advertising:oaid
ai	intelligent_voice_framework	ai:intelligent_voice_framework
ai	mindspore	ai:mindspore
ai	neural_network_runtime	ai:neural_network_runtime
applications	auth_widget	applications:auth_widget
applications	calendar_data	applications:calendar_data
applications	dlp_manager	applications:dlp_manager
applications	permission_manager	applications:permission_manager
applications	prebuilt_hap	applications:prebuilt_hap
applications	settings	applications:settings
applications	user_certificate_manager	applications:user_certificate_manager
arkcompiler	ace_js2bundle	arkcompiler:ace_js2bundle
arkcompiler	ets_frontend	arkcompiler:ets_frontend
arkcompiler	ets_runtime	arkcompiler:ets_runtime
arkcompiler	runtime_core	arkcompiler:runtime_core
arkcompiler	taihe_ffi_gen	arkcompiler:taihe_ffi_gen
arkcompiler	toolchain	arkcompiler:toolchain
arkui	ace_engine	arkui:ace_engine
arkui	advanced_ui_component	arkui:advanced_ui_component
arkui	napi	arkui:napi
arkui	ui_appearance	arkui:ui_appearance
arkui	ui_lite	arkui:ui_lite
barrierfree	accessibility	barrierfree:accessibility
build	build_framework	build:build_framework
bundlemanager	app_domain_verify	bundlemanager:app_domain_verify
bundlemanager	bundle_framework	bundlemanager:bundle_framework
bundlemanager	bundle_tool	bundlemanager:bundle_tool
bundlemanager	distributed_bundle_framework	bundlemanager:distributed_bundle_framework
bundlemanager	ecological_rule_manager	bundlemanager:ecological_rule_manager
castplus	cast_engine	castplus:cast_engine
castplus	sharing_framework	castplus:sharing_framework
commonlibrary	c_utils	commonlibrary:c_utils
commonlibrary	ets_utils	commonlibrary:ets_utils
commonlibrary	memory_utils	commonlibrary:memory_utils
commonlibrary	ylong_http	commonlibrary:ylong_http
commonlibrary	ylong_json	commonlibrary:ylong_json
commonlibrary	ylong_runtime	commonlibrary:ylong_runtime
communication	bluetooth	communication:bluetooth
communication	bluetooth_native_js	communication:bluetooth_native_js
communication	bluetooth_service	communication:bluetooth_service
communication	dhcp	communication:dhcp
communication	dsoftbus	communication:dsoftbus
communication	fusion_connectivity	communication:fusion_connectivity
communication	ipc	communication:ipc
communication	net_manager	communication:net_manager
communication	netmanager_base	communication:netmanager_base
communication	netmanager_ext	communication:netmanager_ext
communication	netstack	communication:netstack
communication	t2stack	communication:t2stack
communication	wifi	communication:wifi
contacts_data	contacts_data	contacts_data:contacts_data
customization	config_policy	customization:config_policy
customization	enterprise_device_management	customization:enterprise_device_management
developtools	ace_ets2bundle	developtools:ace_ets2bundle
developtools	hdc	developtools:hdc
developtools	hiperf	developtools:hiperf
developtools	hiprofiler	developtools:hiprofiler
