########## WARNING SNAPSHOT ##########
==================== THREAD LEAK MAINTENANCE ====================
level=WARNING
---- [1] process basic info ----
processName=thread_victim
bundleName=unknown
pid=2231
uid=0
threadCount=2101
appState=unknown
---- [2] hidumper thread maintenance (-p 2231 --thread) ----
Thread num: 2101
Top 10 Thread Names:
1	TL_Anim_0
1	TL_Anim_1
1	TL_Anim_10
1	TL_Anim_100
1	TL_Anim_101
1	TL_Anim_102
1	TL_Anim_103
1	TL_Anim_104
1	TL_Anim_11
1	TL_Anim_12

---- [3] per-thread run state and cpu run time ----
thread_total=2101
tid	state	cpuUsage	cpuLoad	name
2231	S	0	0	thread_victim
2232	S	0	0	TL_Worker_0
2233	S	0	0	TL_IO_0
2234	S	0	0	TL_Net_0
2235	S	0	0	TL_Render_0
2236	S	0	0	TL_Audio_0
2237	S	0	0	TL_Codec_0
2238	S	0	0	TL_GC_0
2239	S	0	0	TL_Timer_0
2240	S	0	0	TL_IPC_0
2241	S	0	0	TL_DB_0
2242	S	0	0	TL_Cache_0
2243	S	0	0	TL_Sensor_0
2244	S	0	0	TL_Anim_0
2245	S	0	0	TL_Upload_0
2246	S	0	0	TL_Download_0
2247	S	0	0	TL_Parser_0
2248	S	0	0	TL_Watchdog_0
2249	S	0	0	TL_Event_0
2250	S	0	0	TL_Sync_0
2251	S	0	0	TL_Log_0
2252	S	0	0	TL_Worker_1
2253	S	0	0	TL_IO_1
2254	S	0	0	TL_Net_1
2255	S	0	0	TL_Render_1
2256	S	0	0	TL_Audio_1
2257	S	0	0	TL_Codec_1
2258	S	0	0	TL_GC_1
2259	S	0	0	TL_Timer_1
2260	S	0	0	TL_IPC_1
2261	S	0	0	TL_DB_1
2262	S	0	0	TL_Cache_1
2263	S	0	0	TL_Sensor_1
2264	S	0	0	TL_Anim_1
2265	S	0	0	TL_Upload_1
2266	S	0	0	TL_Download_1
2267	S	0	0	TL_Parser_1
2268	S	0	0	TL_Watchdog_1
2269	S	0	0	TL_Event_1
2270	S	0	0	TL_Sync_1
2271	S	0	0	TL_Log_1
2272	S	0	0	TL_Worker_2
2273	S	0	0	TL_IO_2
2274	S	0	0	TL_Net_2
2275	S	0	0	TL_Render_2
2276	S	0	0	TL_Audio_2
2277	S	0	0	TL_Codec_2
2278	S	0	0	TL_GC_2
2279	S	0	0	TL_Timer_2
2280	S	0	0	TL_IPC_2
2281	S	0	0	TL_DB_2
2282	S	0	0	TL_Cache_2
2283	S	0	0	TL_Sensor_2
2284	S	0	0	TL_Anim_2
2285	S	0	0	TL_Upload_2
2286	S	0	0	TL_Download_2
2287	S	0	0	TL_Parser_2
2288	S	0	0	TL_Watchdog_2
2289	S	0	0	TL_Event_2
2290	S	0	0	TL_Sync_2
2291	S	0	0	TL_Log_2
2292	S	0	0	TL_Worker_3
2293	S	0	0	TL_IO_3
2294	S	0	0	TL_Net_3
2295	S	0	0	TL_Render_3
2296	S	0	0	TL_Audio_3
2297	S	0	0	TL_Codec_3
2298	S	0	0	TL_GC_3
2299	S	0	0	TL_Timer_3
2300	S	0	0	TL_IPC_3
2301	S	0	0	TL_DB_3
2302	S	0	0	TL_Cache_3
2303	S	0	0	TL_Sensor_3
2304	S	0	0	TL_Anim_3
2305	S	0	0	TL_Upload_3
2306	S	0	0	TL_Download_3
2307	S	0	0	TL_Parser_3
2308	S	0	0	TL_Watchdog_3
2309	S	0	0	TL_Event_3
2310	S	0	0	TL_Sync_3
2311	S	0	0	TL_Log_3
2312	S	0	0	TL_Worker_4
2313	S	0	0	TL_IO_4
2314	S	0	0	TL_Net_4
2315	S	0	0	TL_Render_4
2316	S	0	0	TL_Audio_4
2317	S	0	0	TL_Codec_4
2318	S	0	0	TL_GC_4
2319	S	0	0	TL_Timer_4
2320	S	0	0	TL_IPC_4
2321	S	0	0	TL_DB_4
2322	S	0	0	TL_Cache_4
2323	S	0	0	TL_Sensor_4
2324	S	0	0	TL_Anim_4
2325	S	0	0	TL_Upload_4
2326	S	0	0	TL_Download_4
2327	S	0	0	TL_Parser_4
2328	S	0	0	TL_Watchdog_4
2329	S	0	0	TL_Event_4
2330	S	0	0	TL_Sync_4
2331	S	0	0	TL_Log_4
2332	S	0	0	TL_Worker_5
2333	S	0	0	TL_IO_5
2334	S	0	0	TL_Net_5
